"var","max","min","Q1","Q3","mad","med","sd","cv"
"tmean3",25.228,17.939,20.621,21.973,21.44,21.308,1.116,5.235
"tmean4",25.117,18.743,20.724,22.229,21.646,21.506,1.076,5.001
"tmean5",24.714,18.635,20.853,22.339,21.666,21.56,1.075,4.987
"tmean6",24.251,18.547,20.763,22.244,21.577,21.439,1.068,4.984
"tmean7",25.121,18.748,20.915,22.403,21.723,21.586,1.023,4.741
"tmean8",24.566,19.041,20.99,22.285,21.737,21.596,0.981,4.544
"tmean9",24.622,18.785,20.741,22.141,21.462,21.368,1.04,4.87
"tmean10",24.568,18.268,20.668,22.173,21.357,21.28,1.137,5.344
"dtr1",11.324,7.081,9.399,10.333,9.858,9.822,0.774,7.879
"dtr2",11.136,6.463,9.087,10.109,9.655,9.612,0.815,8.477
"dtr3",11.166,7.025,8.873,9.777,9.319,9.282,0.747,8.052
"dtr4",10.974,6.527,9.014,9.799,9.52,9.375,0.798,8.51
"dtr5",11.078,7.052,9.004,10.587,9.557,9.634,0.978,10.152
"dtr6",11.024,7.076,9.124,10.112,9.648,9.537,0.74,7.764
"dtr7",11.738,7.479,9.388,10.203,9.752,9.702,0.691,7.117
"dtr8",11.345,7.58,9.453,10.267,9.866,9.837,0.664,6.752
"dtr9",11.434,6.564,9.306,9.949,9.693,9.558,0.841,8.801
"dtr10",11.122,6.111,8.862,9.899,9.693,9.386,0.964,10.265
"PrecTotal",2446.397,895.795,1349.347,2056.406,1781.329,1717.498,403.681,23.504
"TminTotal",194.42,141.191,162.349,172.055,167.913,166.831,8.07,4.838
"TmaxTotal",302.125,227.981,254.733,272.517,264.804,262.576,13.03,4.962
"TmeanTotal",248.272,188.168,208.004,221.971,216.052,214.703,10.288,4.792
"DtrTotal",108.491,69.507,93.955,99.536,97.565,95.745,6.815,7.118
"PrecTotalAvg",244.64,89.58,134.935,205.641,178.133,171.75,40.368,23.504
"TminTotalAvg",19.442,14.119,16.235,17.206,16.791,16.683,0.807,4.838
"TmaxTotalAvg",30.212,22.798,25.473,27.252,26.48,26.258,1.303,4.962
"TmeanTotalAvg",24.827,18.817,20.8,22.197,21.605,21.47,1.029,4.792
"DtrTotalAvg",10.849,6.951,9.395,9.954,9.756,9.574,0.682,7.118
"OrientationNum",351.87,0,71.114,249.228,164.358,164.609,107.043,65.029
"Slope",54.095,0,12.154,27.818,19.328,19.651,10.331,52.572
"pH_avg",5.7,4.15,5.333,5.4,5.4,5.361,0.297,5.539
"org_avg",0.081,0.01,0.022,0.042,0.038,0.037,0.014,38.391
"Franco",3,1,3,3,3,2.908,0.42,14.454
"Arcilloso",3,0,0,3,1,1.502,1.488,99.047
"Limoso",3,0,3,3,3,2.88,0.504,17.502
"Arenoso",2,0,0,0,0,0.037,0.27,731.413
"Cascajoso",3,0,0,0,0,0.147,0.458,310.486
"PuntajeTotal",87.75,0,75.75,82.5,79,71.741,23.564,32.846
