"var","max","min","Q1","Q3","mad","med","sd","cv"
"TmeanTotalAvg",26.239,18.105,20.309,21.884,21.149,21.076,1.139,5.406
"DtrTotalAvg",11.186,6.745,9.21,9.88,9.633,9.43,0.73,7.743
"OrientationNum",359.613,0,68.615,255.247,155.007,162.726,108.393,66.611
"Slope",57.382,0,12.118,26.493,19.633,19.191,10.114,52.701
"pH_avg",5.95,4.15,5.333,5.4,5.4,5.345,0.312,5.832
"org_avg",0.081,0.01,0.026,0.05,0.038,0.038,0.015,37.932
"Franco",3,0,3,3,3,2.863,0.536,18.721
"Arcilloso",3,0,0,3,3,1.539,1.493,97.04
"Limoso",3,0,3,3,3,2.799,0.677,24.201
"Arenoso",3,0,0,0,0,0.063,0.355,563.919
"Cascajoso",3,0,0,0,0,0.267,0.643,241.004
"PuntajeTotal",87.75,0,76.5,82.5,80,72.212,23.423,32.436
